Date,Close/Last,Volume,Open,High,Low
12/22/2017,81.83,6484450,81.32,81.946,81.22
12/21/2017,81.27,4701296,81.95,81.95,81.18
12/20/2017,82.85,7831854,83.86,84.085,82.84
12/19/2017,83.82,5259283,85.67,85.69,83.665
12/18/2017,85.64,5169495,85.26,86.14,85.25
12/15/2017,85.08,4904512,84.66,85.25,84.63
12/14/2017,84.55,5266207,84.62,84.875,84.38
12/13/2017,84.57,3887039,84.62,84.97,84.41
12/12/2017,84.43,4732226,84.12,84.66,83.74
12/11/2017,84.02,5326279,84.05,84.15,83.84
12/08/2017,84.03,3448573,83.93,84.175,83.55
12/07/2017,83.60,4049057,83.33,83.6801,83.11
12/06/2017,83.39,3967928,83.51,83.779,83.00
12/05/2017,83.47,4372791,84.26,84.30,83.45
12/04/2017,84.17,4484137,84.76,85.10,84.15
12/01/2017,84.59,4664751,84.49,84.91,83.85
11/30/2017,84.39,4849810,84.40,84.645,84.135
11/29/2017,84.26,4634048,84.02,84.45,83.76
11/28/2017,84.23,2946778,84.51,84.62,83.7935
11/27/2017,84.55,2217987,85.04,85.05,84.52
11/24/2017,84.95,1254997,84.91,85.09,84.88
11/22/2017,84.84,2347372,84.87,85.13,84.63
11/21/2017,85.03,3057112,84.64,85.08,84.51
11/20/2017,84.40,3613763,84.71,84.79,84.26
11/17/2017,84.65,2782572,84.81,85.07,84.55
11/16/2017,85.02,5137247,84.11,85.1128,84.10
11/15/2017,84.32,5169552,85.05,85.20,84.27
11/14/2017,85.18,4039183,85.12,85.42,85.03
11/13/2017,85.36,3486108,84.98,85.48,84.85
11/10/2017,84.93,3657275,84.41,85.21,84.2525
11/09/2017,84.84,3856501,84.44,85.35,84.21
11/08/2017,84.75,2058230,84.27,84.80,84.23
11/07/2017,84.33,3978733,83.69,84.60,83.68
11/06/2017,83.65,3156286,83.16,83.88,83.11
11/03/2017,83.09,2457624,82.89,83.4099,82.53
11/02/2017,83.30,5159353,82.85,83.64,82.73
11/01/2017,82.60,3507722,82.34,82.78,82.15
10/31/2017,82.20,4422769,82.22,82.35,81.49
10/30/2017,82.21,3061182,82.35,82.54,82.055
10/27/2017,82.28,2979869,81.86,82.49,81.34
10/26/2017,81.91,3916419,82.81,83.00,81.61
10/25/2017,82.59,3491115,82.48,82.87,82.015
10/24/2017,82.83,2521350,83.17,83.44,82.54
10/23/2017,83.33,2618818,83.75,83.83,83.23
10/20/2017,83.65,2929876,84.06,84.10,83.33
10/19/2017,84.13,1838744,84.36,84.54,83.84
10/18/2017,84.38,1935905,84.37,84.69,84.21
10/17/2017,84.47,2191683,84.28,84.52,84.12
10/16/2017,84.37,1972743,84.73,84.90,84.30
10/13/2017,84.79,2662400,84.88,85.00,84.40
10/12/2017,84.57,2787524,84.06,84.57,83.93
10/11/2017,84.03,2944802,83.82,84.29,83.81
10/10/2017,83.75,6012778,83.76,84.32,83.50
10/09/2017,83.50,2248367,83.34,83.71,83.25
10/06/2017,83.30,2594844,83.13,83.37,82.60
10/05/2017,83.57,3398719,83.38,83.985,83.37
10/04/2017,83.27,4137399,82.92,83.33,82.63
10/03/2017,82.85,6710755,82.96,83.0397,82.66
10/02/2017,82.97,4533835,83.22,83.26,82.84
09/29/2017,83.09,4243984,82.80,83.18,82.62
09/28/2017,82.92,4114286,82.19,83.00,82.19
09/27/2017,82.36,3812837,82.94,83.1002,82.07
09/26/2017,83.11,3099513,83.13,83.38,82.91
09/25/2017,82.97,5536305,82.50,83.31,82.49
09/22/2017,82.49,4549558,83.17,83.48,82.44
09/21/2017,83.93,6278513,84.08,84.63,83.92
09/20/2017,84.09,2741570,84.54,84.66,83.72
09/19/2017,84.32,2916488,84.95,84.97,84.26
09/18/2017,84.88,3442169,85.32,85.47,84.605
09/15/2017,85.34,3172833,85.13,85.38,84.58
09/14/2017,85.18,2839135,84.37,85.22,84.17
09/13/2017,84.48,1840081,84.72,84.759,84.19
09/12/2017,84.70,3991299,85.58,85.80,84.385
09/11/2017,85.71,2352567,85.12,85.80,85.00
09/08/2017,84.93,2334532,84.63,85.24,84.56
09/07/2017,84.86,2313569,84.49,85.00,84.36
09/06/2017,84.32,3330483,84.27,84.89,84.19
09/05/2017,84.10,3705194,84.42,84.68,83.68
09/01/2017,84.33,3386318,84.06,84.68,83.95
08/31/2017,84.04,3212733,83.79,84.27,83.63
08/30/2017,83.56,2054097,82.95,83.57,82.62
08/29/2017,83.09,1401725,83.06,83.45,83.00
08/28/2017,83.18,2071965,83.86,83.94,82.92
08/25/2017,83.82,2147329,83.69,84.13,83.31
08/24/2017,83.42,2012182,83.85,84.33,83.37
08/23/2017,83.68,1889935,82.86,83.78,82.65
08/22/2017,82.83,1835338,83.08,83.33,82.608
08/21/2017,83.07,2487979,82.20,83.21,82.07
08/18/2017,82.19,2011007,82.82,82.95,81.95
08/17/2017,83.03,2053678,83.45,83.75,82.9866
08/16/2017,83.55,2945264,83.32,83.8099,83.32
08/15/2017,83.22,2259871,83.31,83.31,82.67
08/14/2017,83.47,2160199,82.44,83.63,82.30
08/11/2017,82.10,2692700,82.63,82.69,81.73
08/10/2017,82.61,4190763,83.03,83.18,82.61
08/09/2017,83.21,4508428,83.55,83.59,83.05
08/08/2017,83.49,2324434,83.73,83.92,83.28
08/07/2017,83.89,1642728,84.00,84.1065,83.57
08/04/2017,83.98,2068662,83.68,84.14,83.50
08/03/2017,83.70,2032492,83.72,84.1762,83.40
08/02/2017,83.87,2192033,84.46,84.46,83.59
08/01/2017,84.64,3142907,84.52,85.00,83.97
07/31/2017,84.26,2967612,84.24,84.38,83.5999
07/28/2017,84.15,3024479,84.40,84.66,83.98
07/27/2017,84.38,2828780,83.98,84.73,83.48
07/26/2017,84.28,2975598,83.73,84.57,83.54
07/25/2017,83.70,2785068,83.65,83.78,83.13
07/24/2017,83.59,2659188,83.73,83.83,83.21
07/21/2017,83.75,2973096,83.87,83.97,83.35
07/20/2017,83.81,3062777,84.25,84.39,83.765
07/19/2017,84.20,2949672,83.70,84.23,83.52
07/18/2017,83.57,3011505,83.78,83.93,83.34
07/17/2017,83.75,2730692,83.08,83.88,82.92
07/14/2017,83.08,2577645,82.79,83.23,82.71
07/13/2017,82.29,2556159,82.22,82.49,82.00
07/12/2017,82.16,3189233,81.71,82.63,81.54
07/11/2017,81.16,3346556,81.31,81.39,80.58
07/10/2017,81.25,4164146,82.18,82.26,81.19
07/07/2017,82.00,3249849,81.74,82.23,81.43
07/06/2017,81.54,4180645,82.59,82.97,81.44
07/05/2017,83.10,5370196,84.44,84.44,82.94
07/03/2017,84.29,3169520,83.56,84.46,83.37
06/30/2017,83.23,4206806,83.46,83.88,82.99
06/29/2017,83.23,3985814,83.92,83.92,83.08
06/28/2017,84.19,2956295,84.22,84.59,83.925
06/27/2017,83.99,3925278,84.33,84.83,83.94
06/26/2017,84.75,6417390,84.36,85.0599,84.36
06/23/2017,84.15,3758964,83.89,84.63,83.7501
06/22/2017,84.66,6220846,84.47,84.83,84.13
06/21/2017,84.58,2559708,84.75,84.99,84.04
06/20/2017,84.75,3194245,85.00,85.24,84.10
06/19/2017,84.95,4892189,84.94,84.99,84.54
06/16/2017,84.94,4497995,85.27,85.315,84.57
06/15/2017,85.16,3757156,84.37,85.39,84.30
06/14/2017,84.73,5317444,85.12,85.30,84.44
06/13/2017,84.61,2787502,84.38,84.692,84.025
06/12/2017,84.42,4049586,83.60,84.44,83.47
06/09/2017,83.67,4950387,83.09,83.945,82.80
06/08/2017,83.09,2963550,83.32,83.32,82.35
06/07/2017,83.29,3191286,82.69,83.44,82.62
06/06/2017,82.71,4357948,83.16,83.18,82.585
06/05/2017,83.11,4919902,83.26,83.38,82.73
